Distribuidora,UF,Ranking,Tarifa Convencional,Tarifa Branca - Ponta,Tarifa Branca - Intermediária,Tarifa Branca - Fora ponta,Resolução Homologatória,Início de vigência
Cedrap,SP,1,"1,091","2,409","1,611","0,814",3549/2025,2025-11-30 00:00:00
Ceris,SP,2,"0,980","1,935","1,362","0,789",3502/2025,2025-07-30 00:00:00
CERMC,SP,3,"0,969","1,706","1,227","0,748",3552/2025,2025-11-30 00:00:00
Cetril,SP,4,"0,910","1,699","1,186","0,673",3553/2025,2025-11-30 00:00:00
Cedri,SP,5,"0,886","1,563","1,117","0,672",3531/2025,2025-09-30 00:00:00
Cerim,SP,6,"0,882","1,636","1,146","0,656",3551/2025,2025-11-30 00:00:00
CERVAM,SP,7,"0,864","1,719","1,197","0,675",3527/2025,2025-09-30 00:00:00
Neoenergia Elektro,SP,8,"0,796","1,400","0,930","0,643",3510/2025,2025-08-27 00:00:00
Ceripa,SP,9,"0,795","1,494","1,040","0,586",3449/2025,2025-04-29 00:00:00
Cerpro,SP,10,"0,794","1,580","1,091","0,602",3457/2025,2025-05-29 00:00:00
EDP SP,SP,11,"0,787","1,360","0,915","0,649",3541/2025,2025-10-23 00:00:00
Cernhe,SP,12,"0,766","1,702","1,163","0,624",3503/2025,2025-07-30 00:00:00
Energisa Sul Sudeste (agrupada),SP,13,"0,746","1,405","0,931","0,642",3480/2025,2025-07-12 00:00:00
CPFL Piratininga,SP,14,"0,740","1,257","0,844","0,621",3543/2025,2025-10-23 00:00:00
CERRP,SP,15,"0,735","1,402","0,987","0,572",3458/2025,2025-05-29 00:00:00
Enel SP,SP,16,"0,725","1,382","0,913","0,610",3477/2025,2025-07-04 00:00:00
Cemirim,SP,17,"0,696","1,217","0,893","0,589",3455/2025,2025-05-29 00:00:00
CPFL Santa Cruz (agrupada),SP,18,"0,689","1,256","0,826","0,547",3460/2025,2025-05-22 00:00:00
CPFL Paulista,SP,19,"0,676","1,248","0,817","0,560",3452/2025,2025-04-30 00:00:00
